Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,2010-03-06,Wolves,Man United,0.0,1.0,A,0.0,0.0,D,P Walton,12.0,15.0,6.0,6.0,9.0,8.0,2.0,4.0,2.0,1.0,0.0,0.0
E0,2010-03-27,Bolton,Man United,0.0,4.0,A,0.0,1.0,A,M Atkinson,14.0,13.0,10.0,8.0,14.0,15.0,11.0,6.0,0.0,0.0,0.0,0.0
E0,2010-04-11,Blackburn,Man United,0.0,0.0,D,0.0,0.0,D,P Walton,8.0,13.0,7.0,6.0,14.0,12.0,1.0,7.0,1.0,2.0,0.0,0.0
E0,2010-04-17,Man City,Man United,0.0,1.0,A,0.0,0.0,D,M Atkinson,8.0,13.0,5.0,3.0,8.0,12.0,7.0,5.0,2.0,1.0,0.0,0.0
E0,2010-05-02,Sunderland,Man United,0.0,1.0,A,0.0,1.0,A,S Bennett,10.0,14.0,2.0,9.0,10.0,9.0,9.0,4.0,3.0,2.0,0.0,0.0
E0,16/08/10,Man United,Newcastle,3.0,0.0,H,2.0,0.0,H,C Foy,18.0,7.0,10.0,3.0,9.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0
E0,28/08/10,Man United,West Ham,3.0,0.0,H,1.0,0.0,H,M Clattenburg,18.0,7.0,11.0,2.0,6.0,11.0,9.0,3.0,1.0,2.0,0.0,0.0
E0,19/09/10,Man United,Liverpool,3.0,2.0,H,1.0,0.0,H,H Webb,16.0,7.0,7.0,1.0,15.0,10.0,6.0,1.0,4.0,1.0,0.0,0.0
E0,16/10/10,Man United,West Brom,2.0,2.0,D,2.0,0.0,H,M Jones,16.0,7.0,9.0,2.0,10.0,7.0,3.0,2.0,1.0,2.0,0.0,0.0
E0,30/10/10,Man United,Tottenham,2.0,0.0,H,1.0,0.0,H,M Clattenburg,18.0,11.0,10.0,5.0,12.0,10.0,1.0,4.0,0.0,3.0,0.0,0.0
E0,06/11/10,Man United,Wolves,2.0,1.0,H,1.0,0.0,H,P Dowd,14.0,8.0,10.0,6.0,6.0,11.0,3.0,2.0,1.0,0.0,0.0,0.0
E0,20/11/10,Man United,Wigan,2.0,0.0,H,1.0,0.0,H,M Atkinson,17.0,10.0,12.0,4.0,10.0,14.0,11.0,1.0,0.0,2.0,0.0,2.0
E0,27/11/10,Man United,Blackburn,7.0,1.0,H,3.0,0.0,H,L Probert,15.0,3.0,11.0,2.0,6.0,6.0,5.0,2.0,0.0,2.0,0.0,0.0
E0,13/12/10,Man United,Arsenal,1.0,0.0,H,1.0,0.0,H,H Webb,14.0,11.0,10.0,6.0,7.0,16.0,5.0,4.0,0.0,4.0,0.0,0.0
E0,26/12/10,Man United,Sunderland,2.0,0.0,H,1.0,0.0,H,P Dowd,14.0,6.0,10.0,2.0,9.0,10.0,5.0,3.0,0.0,2.0,0.0,0.0
E0,04/01/11,Man United,Stoke,2.0,1.0,H,1.0,0.0,H,M Clattenburg,18.0,5.0,7.0,1.0,6.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0
E0,22/01/11,Man United,Birmingham,5.0,0.0,H,3.0,0.0,H,M Jones,23.0,6.0,9.0,1.0,10.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0
E0,01/02/11,Man United,Aston Villa,3.0,1.0,H,2.0,0.0,H,C Foy,18.0,9.0,11.0,5.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0
E0,12/02/11,Man United,Man City,2.0,1.0,H,1.0,0.0,H,A Marriner,11.0,13.0,6.0,8.0,15.0,13.0,4.0,7.0,2.0,2.0,0.0,0.0
E0,19/03/11,Man United,Bolton,1.0,0.0,H,0.0,0.0,D,A Marriner,14.0,11.0,8.0,6.0,8.0,11.0,12.0,5.0,0.0,0.0,1.0,0.0
E0,09/04/11,Man United,Fulham,2.0,0.0,H,2.0,0.0,H,M Jones,16.0,12.0,12.0,5.0,12.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0
E0,23/04/11,Man United,Everton,1.0,0.0,H,0.0,0.0,D,P Walton,21.0,5.0,12.0,3.0,10.0,9.0,13.0,1.0,1.0,2.0,0.0,0.0
E0,08/05/11,Man United,Chelsea,2.0,1.0,H,2.0,0.0,H,H Webb,13.0,19.0,8.0,11.0,12.0,14.0,7.0,2.0,2.0,4.0,0.0,0.0
E0,22/05/11,Man United,Blackpool,4.0,2.0,H,1.0,1.0,D,M Dean,18.0,14.0,11.0,7.0,8.0,5.0,8.0,8.0,2.0,1.0,0.0,0.0
E0,22/08/10,Fulham,Man United,2.0,2.0,D,0.0,1.0,A,P Walton,16.0,14.0,8.0,7.0,7.0,6.0,5.0,11.0,2.0,2.0,0.0,0.0
E0,11/09/10,Everton,Man United,3.0,3.0,D,1.0,1.0,D,M Atkinson,23.0,13.0,14.0,8.0,11.0,18.0,7.0,5.0,1.0,1.0,0.0,0.0
E0,26/09/10,Bolton,Man United,2.0,2.0,D,1.0,1.0,D,P Dowd,15.0,12.0,9.0,6.0,16.0,18.0,7.0,12.0,1.0,2.0,0.0,0.0
E0,02/10/10,Sunderland,Man United,0.0,0.0,D,0.0,0.0,D,C Foy,14.0,10.0,8.0,4.0,10.0,6.0,10.0,4.0,1.0,2.0,0.0,0.0
E0,24/10/10,Stoke,Man United,1.0,2.0,A,0.0,1.0,A,A Marriner,6.0,12.0,2.0,5.0,6.0,13.0,5.0,6.0,2.0,2.0,0.0,0.0
E0,10/11/10,Man City,Man United,0.0,0.0,D,0.0,0.0,D,C Foy,6.0,7.0,4.0,4.0,10.0,12.0,8.0,5.0,0.0,2.0,0.0,0.0
E0,13/11/10,Aston Villa,Man United,2.0,2.0,D,0.0,0.0,D,M Dean,12.0,16.0,6.0,10.0,11.0,9.0,9.0,7.0,3.0,4.0,0.0,0.0
E0,28/12/10,Birmingham,Man United,1.0,1.0,D,0.0,0.0,D,L Mason,8.0,10.0,3.0,4.0,10.0,11.0,4.0,4.0,3.0,3.0,0.0,0.0
E0,01/01/11,West Brom,Man United,1.0,2.0,A,1.0,1.0,D,C Foy,17.0,5.0,8.0,3.0,8.0,13.0,4.0,5.0,1.0,3.0,0.0,0.0
E0,16/01/11,Tottenham,Man United,0.0,0.0,D,0.0,0.0,D,M Dean,16.0,7.0,6.0,4.0,9.0,18.0,8.0,2.0,2.0,4.0,0.0,1.0
E0,25/01/11,Blackpool,Man United,2.0,3.0,A,2.0,0.0,H,P Walton,6.0,17.0,4.0,13.0,10.0,10.0,6.0,7.0,1.0,2.0,0.0,0.0
E0,05/02/11,Wolves,Man United,2.0,1.0,H,2.0,1.0,H,M Oliver,6.0,14.0,5.0,7.0,6.0,11.0,4.0,6.0,2.0,2.0,0.0,0.0
E0,26/02/11,Wigan,Man United,0.0,4.0,A,0.0,1.0,A,M Clattenburg,10.0,14.0,4.0,9.0,13.0,11.0,8.0,4.0,0.0,1.0,0.0,0.0
E0,01/03/11,Chelsea,Man United,2.0,1.0,H,0.0,1.0,A,M Atkinson,17.0,12.0,11.0,7.0,11.0,14.0,10.0,2.0,3.0,2.0,0.0,1.0
E0,06/03/11,Liverpool,Man United,3.0,1.0,H,2.0,0.0,H,P Dowd,17.0,12.0,10.0,7.0,12.0,12.0,6.0,4.0,2.0,3.0,0.0,0.0
E0,02/04/11,West Ham,Man United,2.0,4.0,A,2.0,0.0,H,L Mason,6.0,18.0,2.0,9.0,10.0,9.0,0.0,16.0,1.0,2.0,0.0,0.0
E0,19/04/11,Newcastle,Man United,0.0,0.0,D,0.0,0.0,D,L Probert,12.0,18.0,5.0,8.0,9.0,10.0,6.0,7.0,2.0,2.0,0.0,0.0
E0,01/05/11,Arsenal,Man United,1.0,0.0,H,0.0,0.0,D,C Foy,9.0,11.0,2.0,7.0,15.0,7.0,3.0,6.0,2.0,3.0,0.0,0.0
E0,14/05/11,Blackburn,Man United,1.0,1.0,D,1.0,0.0,H,P Dowd,6.0,9.0,2.0,4.0,11.0,11.0,2.0,6.0,3.0,0.0,0.0,0.0
E0,22/08/11,Man United,Tottenham,3.0,0.0,H,0.0,0.0,D,L Probert,27.0,20.0,21.0,12.0,12.0,9.0,11.0,3.0,1.0,2.0,0.0,0.0
E0,28/08/11,Man United,Arsenal,8.0,2.0,H,3.0,1.0,H,H Webb,25.0,19.0,15.0,13.0,9.0,7.0,3.0,5.0,2.0,3.0,0.0,1.0
E0,18/09/11,Man United,Chelsea,3.0,1.0,H,3.0,0.0,H,P Dowd,12.0,20.0,7.0,9.0,11.0,12.0,4.0,10.0,2.0,3.0,0.0,0.0
E0,01/10/11,Man United,Norwich,2.0,0.0,H,0.0,0.0,D,S Attwell,17.0,13.0,9.0,6.0,9.0,6.0,10.0,3.0,1.0,0.0,0.0,0.0
E0,23/10/11,Man United,Man City,1.0,6.0,A,0.0,1.0,A,M Clattenburg,12.0,19.0,8.0,12.0,15.0,11.0,7.0,4.0,4.0,4.0,1.0,0.0
E0,05/11/11,Man United,Sunderland,1.0,0.0,H,1.0,0.0,H,L Mason,15.0,9.0,9.0,3.0,6.0,14.0,6.0,2.0,0.0,2.0,0.0,0.0
